Loc,date_dec,meansst
Port D,1991.2465753424658,14.1513330170264
Ninepi,1991.2465753424658,13.9796663541968
Tinder,1991.2465753424658,13.6486663615952
Maria ,1991.2465753424658,15.7893329804142
Bichen,1991.2465753424658,16.8519996233284
BassSt,1991.2465753424658,16.4366662992785
Port P,1991.2465753424658,17.2213329484065
Jervis,1991.2465753424658,19.9849995533004
Jurien,1991.2465753424658,22.553332829227
Port D,1991.3287671232877,13.4403222802305
Ninepi,1991.3287671232877,13.1312900290734
Tinder,1991.3287671232877,12.7499997150153
Maria ,1991.3287671232877,14.056773879355
Bichen,1991.3287671232877,15.0312899866051
BassSt,1991.3287671232877,15.1499996613711
Port P,1991.3287671232877,15.4819351378227
Jervis,1991.3287671232877,19.2058060223297
Jurien,1991.3287671232877,22.5406446574676
Port D,1991.4136986301369,13.2829997031018
Ninepi,1991.4136986301369,12.6966663828741
Tinder,1991.4136986301369,12.2196663935358
Maria ,1991.4136986301369,13.1809997053817
Bichen,1991.4136986301369,14.2469996815547
BassSt,1991.4136986301369,14.3196663465972
Port P,1991.4136986301369,14.6169996732846
Jervis,1991.4136986301369,19.0759995736182
Jurien,1991.4136986301369,22.394332832781
Port D,1991.495890410959,12.8077416492085
Ninepi,1991.495890410959,12.7729029403098
Tinder,1991.495890410959,12.4732255276533
Maria ,1991.495890410959,12.9329029367335
Bichen,1991.495890410959,13.2216126076997
BassSt,1991.495890410959,13.035483579602
Port P,1991.495890410959,13.3703222817952
Jervis,1991.495890410959,18.3922576534171
Jurien,1991.495890410959,21.398386618483
Port D,1991.5808219178082,12.1703223086173
Ninepi,1991.5808219178082,12.0354836019537
Tinder,1991.5808219178082,11.835806187062
Maria ,1991.5808219178082,12.0306448923844
Bichen,1991.5808219178082,12.310322305488
BassSt,1991.5808219178082,11.6819352227594
Port P,1991.5808219178082,12.5351610101399
Jervis,1991.5808219178082,15.9638706109216
Jurien,1991.5808219178082,20.0238705201735
Port D,1991.6657534246576,11.6886664054046
Ninepi,1991.6657534246576,11.7633330704023
Tinder,1991.6657534246576,11.6343330732857
Maria ,1991.6657534246576,11.8879997342825
Bichen,1991.6657534246576,12.2266663933794
BassSt,1991.6657534246576,11.9189997335896
Port P,1991.6657534246576,12.8299997132272
Jervis,1991.6657534246576,16.301666302296
Jurien,1991.6657534246576,20.3783328778421
Port D,1991.7479452054795,11.8335481225964
Ninepi,1991.7479452054795,12.5306448812086
Tinder,1991.7479452054795,12.5229029458978
